seed,raw_rows,positive_events,graph_events,gini,top1_event_share,nodes,edges,largest_wcc_share,largest_scc_share,assort_out_in,assort_in_out,assort_out_out,assort_in_in,degree_0_1_removed_nodes,degree_0_1_wcc_share
42,297600,279136,279023,0.9833845828672036,0.8506613778930375,201756,190397,0.6708598505125003,0.030294018517417077,-0.13657448439373293,-0.0797264148925982,-0.11877599170124245,-0.09206973919305617,202,0.0655048672654097
2025,297600,279209,279094,0.9827786803081842,0.844733255881947,202143,190801,0.669521081610543,0.031136373755212894,-0.13689294061075633,-0.07977264175957943,-0.12004938534381207,-0.0913389005989199,202,0.08033421884507502
20251031,297600,279065,278941,0.983417148171537,0.8511671786795006,201833,190653,0.6715452874406068,0.028687082885355715,-0.1365859970223882,-0.0796040192371128,-0.11904805474494956,-0.09158931703488728,202,0.07228748519815888
